Date,Description,Original Description,Category,Amount,Status
2023-09-08,"Gmu Mason Money Online","GMU MASON MONEY ONLINE   703-9932871  VA",Education,-15.00,Posted
2023-09-06,"Harris Teeter","HARRIS TEETER #303       MANASSAS     VA",Groceries,-23.90,Posted
2023-09-06,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,20.00,Posted
2023-09-05,"Harris Teeter","HARRIS TEETER #30310060 MMANASSAS     VA",Groceries,-38.15,Posted
2023-09-05,"The Barber Shop and Cmanassas","SQ *THE BARBER SHOP AND CMANASSAS     VA",Hair,-30.00,Posted
2023-09-05,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,70.00,Posted
2023-09-01,"Shell","SHELL OIL 57544374200    FAIRFAX STATIVA",Gas,-5.29,Posted
2023-09-01,"Amazon Prime Membership","AMAZON PRIME MEMBERSHIP  TOKYO",Shopping,3.45,Posted
